candidate_id,score
CAND_0018499,184.9
CAND_0002025,183.06
CAND_0016163,178.5
CAND_0066999,177.14
CAND_0017960,176.22
CAND_0018722,173.08
CAND_0098846,172.6
CAND_0099806,171.72
CAND_0071974,170.42
CAND_0081852,170.34
CAND_0039383,169.5
CAND_0039754,169.02
CAND_0020708,168.98
CAND_0028793,167.38
CAND_0050876,166.16
CAND_0049538,165.18
CAND_0076482,164.76
CAND_0061265,164.7
CAND_0051615,164.66
CAND_0061339,164.66
CAND_0052328,163.84
CAND_0011687,163.78
CAND_0065195,163.78
CAND_0007411,163.48
CAND_0037944,161.66
CAND_0052682,161.48
CAND_0090584,160.8
CAND_0021827,160.72
CAND_0011125,160.62
CAND_0037566,160.32
CAND_0074735,159.98
CAND_0014440,159.46
CAND_0093331,158.58
CAND_0046064,157.96
CAND_0005649,157.76
CAND_0007009,157.76
CAND_0096142,157.36
CAND_0086022,157.32
CAND_0088025,157.16
CAND_0080534,156.94
CAND_0060835,156.36
CAND_0093912,156.26
CAND_0078042,155.58
CAND_0049978,155.32
CAND_0001930,155.26
CAND_0036121,154.14
CAND_0041669,154.1
CAND_0035879,154.08
CAND_0079387,154.04
CAND_0024990,154.0
CAND_0094165,153.78
CAND_0081053,153.46
CAND_0077285,153.44
CAND_0082086,153.28
CAND_0010603,152.46
CAND_0002344,152.36
CAND_0063736,152.18
CAND_0047721,151.92
CAND_0080465,151.84
CAND_0076163,151.74
CAND_0017093,151.72
CAND_0055992,151.72
CAND_0077337,151.42
CAND_0094759,151.36
CAND_0011643,151.18
CAND_0032270,151.12
CAND_0049831,150.86
CAND_0095207,150.66
CAND_0009691,150.42
CAND_0014063,150.36
CAND_0059017,150.26
CAND_0057166,149.88
CAND_0054100,149.62
CAND_0073007,149.5
CAND_0038206,149.38
CAND_0077296,149.26
CAND_0054546,149.16
CAND_0091580,148.86
CAND_0078790,148.62
CAND_0048375,148.58
CAND_0043676,148.56
CAND_0046703,148.24
CAND_0068932,148.16
CAND_0069248,148.16
CAND_0026716,147.84
CAND_0027691,147.56
CAND_0083307,147.4
CAND_0046353,147.18
CAND_0045778,147.08
CAND_0036474,146.96
CAND_0061244,146.82
CAND_0047521,146.7
CAND_0005509,146.34
CAND_0020877,146.24
CAND_0018925,146.08
CAND_0053591,145.8
CAND_0078579,145.7
CAND_0010408,145.66
CAND_0058146,145.6
CAND_0002793,145.46
CAND_0013613,145.36
CAND_0091229,145.12
CAND_0027801,144.9
CAND_0024147,144.86
CAND_0065786,144.86
CAND_0008978,144.84
CAND_0019480,144.82
CAND_0091890,144.78
CAND_0033911,144.7
CAND_0083852,144.6
CAND_0089829,144.14
CAND_0096104,144.06
CAND_0060072,143.96
CAND_0042506,143.86
CAND_0064326,143.82
CAND_0017090,143.64
CAND_0092255,143.56
CAND_0001126,143.34
CAND_0074731,143.16
CAND_0093799,143.16
CAND_0044883,143.14
CAND_0094728,143.0
CAND_0022232,142.92
CAND_0077498,142.72
CAND_0049615,142.68
CAND_0075439,142.54
CAND_0009516,141.86
CAND_0054123,141.84
CAND_0043312,141.7
CAND_0021973,141.66
CAND_0073314,141.64
CAND_0041083,141.62
CAND_0095567,141.54
